BESTV~4K频道,#genre#
CCTV5 8M,https://live.metshop.top/bestv.php?id=cctv58m/8000000
CCTV5+ 8M,https://live.metshop.top/bestv.php?id=cctv5phd8m/8000000
CCTV6 8M,https://live.metshop.top/bestv.php?id=cctv6hd8m/8000000
CCTV7 8M,https://live.metshop.top/bestv.php?id=cctv7hd8m/8000000
CCTV8 8M,https://live.metshop.top/bestv.php?id=cctv8hd8m/8000000
CCTV9 8M,https://live.metshop.top/bestv.php?id=cctv9hd8m/8000000
CCTV10 8M,https://live.metshop.top/bestv.php?id=cctv10hd8m/8000000
CCTV11 8M,https://live.metshop.top/bestv.php?id=cctv11hd8m/8000000
CCTV12 8M,https://live.metshop.top/bestv.php?id=cctv12hd8m/8000000
CCTV13 8M,https://live.metshop.top/bestv.php?id=cctv13xwhd8m/8000000
CCTV14 8M,https://live.metshop.top/bestv.php?id=cctvsehd8m/8000000
CCTV15 8M,https://live.metshop.top/bestv.php?id=cctv15hd8m/8000000
CCTV16 8M,https://live.metshop.top/bestv.php?id=cctv16hd8m/8000000
CCTV17 8M,https://live.metshop.top/bestv.php?id=cctv17hd8m/8000000

代理BESTV~代理BESTV~卫视,#genre#
江苏卫视 8M,https://live.metshop.top/bestv.php?id=jswshd8m/8000000
广西卫视 8M,https://live.metshop.top/bestv.php?id=gxwshd8m/8000000
四川卫视 8M,https://live.metshop.top/bestv.php?id=scwshd/8000000
湖南卫视 8M,https://live.metshop.top/bestv.php?id=hunanwshd8m/8000000
浙江卫视 8M,https://live.metshop.top/bestv.php?id=zjwshd8m/8000000
东方卫视 8M,https://live.metshop.top/bestv.php?id=dfwshd8m/8000000
北京卫视 8M,https://live.metshop.top/bestv.php?id=bjwshd8m/8000000
天津卫视 8M,https://live.metshop.top/bestv.php?id=tjwshd8m/8000000
辽宁卫视 8M,https://live.metshop.top/bestv.php?id=lnwshd8m/8000000
安徽卫视 8M,https://live.metshop.top/bestv.php?id=ahwshd8m/8000000
黑龙江卫视 8M,https://live.metshop.top/bestv.php?id=hljwshd8m/8000000
广东卫视 8M,https://live.metshop.top/bestv.php?id=gdwshd8m/8000000
深圳卫视 8M,https://live.metshop.top/bestv.php?id=szwshd8m/8000000
湖北卫视 8M,https://live.metshop.top/bestv.php?id=hubeiws8m/8000000
吉林卫视 8M,https://live.metshop.top/bestv.php?id=jlwshd8m/8000000
山东卫视 8M,https://live.metshop.top/bestv.php?id=sdws8m/8000000
江西卫视 8M,https://live.metshop.top/bestv.php?id=jxws8m/8000000
河南卫视 8M,https://live.metshop.top/bestv.php?id=hnwshd8m/8000000
河北卫视 8M,https://live.metshop.top/bestv.php?id=hbwshd8m/8000000
甘肃卫视 8M,https://live.metshop.top/bestv.php?id=gswshd8m/8000000
重庆卫视 8M,https://live.metshop.top/bestv.php?id=cqws8m/8000000
东南卫视 8M,https://live.metshop.top/bestv.php?id=dnwshd8m/8000000
云南卫视 8M,https://live.metshop.top/bestv.php?id=ynwshd8m/8000000
贵州卫视 8M,https://live.metshop.top/bestv.php?id=gzwshd8m/8000000
海南卫视 8M,https://live.metshop.top/bestv.php?id=hainanwshd8m/8000000

代理BESTV~代理BESTV~其他,#genre#
欢笑剧场 8M,https://live.metshop.top/bestv.php?id=hxjc8m/8000000
劲爆体育 8M,https://live.metshop.top/bestv.php?id=jbtyhd8m/8000000
快乐垂钓 8M,https://live.metshop.top/bestv.php?id=klcd8m/8000000
金鹰纪实 8M,https://live.metshop.top/bestv.php?id=jyjs8m/8000000
戏曲精选 8M,https://live.metshop.top/bestv.php?id=xqjx8m/8000000
上视新闻 8M,https://live.metshop.top/bestv.php?id=xwzhhd8m/8000000
